va,name,size
0x00433680,?SoundOn@@YGFPADFFDGFFDFFGGFEF@Z,11
0x0043368B,FUN_0043368b,1610
0x00433CE0,?SoundOff@@YIXF@Z,89
0x00433D40,?SoundAllOff@@YIXXZ,58
0x00433D80,?SoundSetup@@YIXPAUMODSPEC@@0D@Z,1583
0x004343B0,?ViewPan@@YIFPAUF24_POINT3@@@Z,416
0x00434550,?Turbulence@@YIJGPAUPLANE@@@Z,208
0x00434620,?SoundRelease@@YIXF@Z,376
0x004347A0,?CheckSndPurge@@YIXPAUT_HANDLE@@@Z,61
0x004347E0,?SetupLoopSounds@@YIXXZ,22
0x00434800,?MaybeLoopSound@@YGXPADGFDFFFFFF@Z,275
0x00434920,?UpdateLoopSounds@@YIXXZ,163
0x004349D0,?ServiceSounds@@YIXXZ,11
0x004349DB,FUN_004349db,2718
0x00435480,?StopGameSounds@@YIXXZ,36
0x004357C0,?SoundPrioritize@@YIXXZ,308
0x00435900,?StartWaitingSounds@@YIXXZ,118
0x00435980,?StartVoice@@YAXPAUMODSPEC@@G@Z,125
0x00435A00,?SetVolPitchPan@@YIXPAUMODSPEC@@G@Z,209
0x00435AE0,?CheckSndLink@@YAXPAUMODSPEC@@@Z,94
0x00435B80,?SoundStatus@@YAFXZ,61
0x00435BC0,?SndLostFocus@@YAXXZ,88
0x00435C20,?SndGotFocus@@YAXXZ,8
0x00435C30,?SoundName@@YIPADF@Z,46
0x00435C60,@MMInit@4,213
0x00435D40,@MMShutdown@0,52
0x00435D80,@MMAllocHandle@8,62
0x00435DC0,@MMMapFile@8,195
0x00435E90,?MMUnmapFile@@YIXPAX00@Z,54
0x00435ED0,?MMUseHandle@@YIPAUT_HANDLE@@PAXKGE@Z,145
0x00435F70,@MMAllocPtr@8,16
0x00435F80,@MMFreeHandle@4,180
0x00436040,@MMFreePtr@4,17
0x00436060,@MMReallocHandle@8,110
0x004360D0,@MMReallocPtr@8,16
0x004360E0,?MMInternalAlloc@@YIPAXK@Z,35
0x00436110,?MMInternalFree@@YIDPAXK@Z,37
0x00436140,@MMPtrToHandle@4,35
0x00436170,@MMPushAllocId@4,31
0x00436190,@MMPopAllocId@0,23
0x004361B0,@MMCompactRAM@0,3
0x004361C0,@MMFreeAllId@4,37
0x004361F0,@MMHandleLen@4,18
0x00436210,@MMLock@8,11
0x00436220,@MMLockW@8,11
0x00436230,@MMLockR@8,11
0x00436260,@MMUnlock@4,1
0x00436270,@MMAccessR@4,11
0x00436280,@MMAccessW@4,11
0x00436290,_MMAccessE@12,34
0x004362D0,_MMByteAt,12
0x004362E0,_MMWordAt,13
0x00436310,_MMULongAt,12
0x00436B30,_MoveObj@0,5879
0x004382D0,MoveGoalValue,388
0x00438480,FUN_00438480,145
0x00438520,@CPSetMissile@4,158
0x004385C0,@CPClearMissile@0,19
0x004385E0,@CPCopyView@0,212
0x004386C0,@CPToggleWindow@4,388
0x00438870,?WPCInit@@YAHJ@Z,11
0x0043887B,FUN_0043887b,757
0x00438B70,_CPInit@0,1527
0x00439170,_CPShutdown@0,167
0x00439220,_CPDraw@8,3100
0x00439E40,FUN_00439e40,543
0x0043A0B0,FUN_0043a0b0,217
0x0043A190,FUN_0043a190,552
0x0043A400,FUN_0043a400,439
