va,name,xref_count,subsystems
0x00432B58,caseD_6,2,ip
0x00432B8E,caseD_8,1,ip
0x00432C10,switchdataD_00432c10,1,ip
0x0043414D,caseD_11,2,ip
0x00434170,caseD_10,1,ip
0x0043417A,caseD_20,1,ip
0x00434184,caseD_30,1,ip
0x0043418E,caseD_40,1,ip
0x004344A4,switchdataD_004344a4,1,ip
0x004344A8,<unnamed>,1,ip
0x00434964,caseD_3,2,ip
0x00434971,caseD_2,1,ip
0x00434981,caseD_4,1,ip
0x004349A1,caseD_f,1,ip
0x004349B1,caseD_15,1,ip
0x004349C1,caseD_16,1,ip
0x00434AE8,switchdataD_00434ae8,1,ip
0x00434DDC,caseD_0,1,ip
0x00434E45,caseD_1,1,ip
0x00434E91,caseD_2b,1,ip
0x00434E9C,caseD_30,1,ip
0x00434EA6,caseD_44,1,ip
0x00434EB0,caseD_2,1,ip
0x00434EF6,caseD_3,1,ip
0x00434F80,caseD_2b,1,ip
0x00434F8B,caseD_44,1,ip
0x00434F95,caseD_4,1,ip
0x00435027,caseD_2b,1,ip
0x00435032,caseD_44,1,ip
0x0043503C,caseD_5,1,ip
0x0043508D,caseD_6,1,ip
0x004350EE,caseD_7,1,ip
0x00435122,caseD_8,1,ip
0x00435153,caseD_9,1,ip
0x004351E0,caseD_b,1,ip
0x0043521F,caseD_2c,11,ip
0x00435225,caseD_a,28,ip
0x0043539C,switchdataD_0043539c,1,ip
0x004353C4,<unnamed>,1,ip
0x004353CC,switchdataD_004353cc,1,ip
0x00435409,<unnamed>,1,ip
0x00435420,switchdataD_00435420,1,ip
0x00435459,<unnamed>,1,ip
0x00435470,switchdataD_00435470,1,ip
0x00435A04,caseD_0,1,ip
0x00435A0C,caseD_1,1,ip
0x00435A1C,caseD_2,1,ip
0x00435A2C,caseD_3,1,ip
0x00435A32,default,4,ip
0x00435A8C,switchdataD_00435a8c,1,ip
0x004373B7,caseD_65,2,ip
0x004373CF,caseD_64,2,ip
0x004373DE,caseD_6e,1,ip
0x004373E3,caseD_70,1,ip
0x004373F8,caseD_68,6,ip
0x0043744E,switchdataD_0043744e,1,ip
0x00437472,switchdataD_00437472,1,ip
0x0043B20F,caseD_1,1,ip
0x0043B222,caseD_2,1,ip
0x0043B22F,caseD_3,1,ip
0x0043B24F,caseD_4,1,ip
0x0043B2DB,caseD_5,1,ip
0x0043B329,caseD_6,1,ip
0x0043B349,caseD_7,1,ip
0x0043B362,caseD_8,1,ip
0x0043B382,caseD_9,1,ip
0x0043B38D,caseD_a,1,ip
0x0043B39B,caseD_b,1,ip
0x0043B3BB,caseD_c,1,ip
0x0043B3C5,caseD_d,1,ip
0x0043B3D2,caseD_e,1,ip
0x0043B3E0,caseD_f,1,ip
0x0043B3F7,caseD_10,1,ip
0x0043B411,caseD_11,1,ip
0x0043B42B,caseD_12,1,ip
0x0043B439,caseD_13,1,ip
0x0043B460,caseD_14,1,ip
0x0043B473,caseD_15,1,ip
